"RL21001: RAHVASTIK, 31. DETSEMBER 2021 | Aasta, Sugu, Elukoht ning Vanus"

"Aasta","Sugu","Elukoht","Vanus kokku"
"2021","Mehed ja naised","..Viljandi maakond: maaline asustuspiirkond",26868
"2021","Mehed ja naised","..Mulgi vald",7026
"2021","Mehed ja naised","....Abja-Paluoja linn asustusüksusena",1026
"2021","Mehed ja naised","....Karksi-Nuia linn asustusüksusena",1457
"2021","Mehed ja naised","....Mõisaküla linn asustusüksusena",698
"2021","Mehed ja naised","....Mulgi vald, v.a Abja-Paluoja, Karksi-Nuia, Mõisaküla linn asustusüksusena",3845
"2021","Mehed ja naised","..Põhja-Sakala vald",7735
"2021","Mehed ja naised","....Suure-Jaani linn asustusüksusena",1184
"2021","Mehed ja naised","....Võhma linn asustusüksusena",1295
"2021","Mehed ja naised","....Põhja-Sakala vald, v.a Suure-Jaani and Võhma linn asustusüksusena",5256
"2021","Mehed ja naised","..Viljandi linn",17245
"2021","Mehed ja naised","..Viljandi vald",13407
"2021","Mehed ja naised","VÕRU MAAKOND",34180
"2021","Mehed ja naised","..Võru maakond: linnaline asustuspiirkond",11865
"2021","Mehed ja naised","..Võru maakond: väikelinnaline asustuspiirkond",830
"2021","Mehed ja naised","..Võru maakond: maaline asustuspiirkond",21485
"2021","Mehed ja naised","..Antsla vald",4222
"2021","Mehed ja naised","....Antsla linn asustusüksusena",1249
"2021","Mehed ja naised","....Antsla vald, v.a Antsla linn asustusüksusena",2973
"2021","Mehed ja naised","..Rõuge vald",4877
"2021","Mehed ja naised","..Setomaa vald",2849
"2021","Mehed ja naised","..Võru linn",11865
"2021","Mehed ja naised","..Võru vald",10367
